Susceptible,Infected,Recovered,Dead,Populations,Date
987,13,0,0,1000,01/01/2021
983,17,0,0,1000,02/01/2021
981,19,0,0,1000,03/01/2021
979,21,0,0,1000,04/01/2021
979,21,0,0,1000,05/01/2021
979,21,0,0,1000,06/01/2021
979,21,0,0,1000,07/01/2021
979,21,0,0,1000,08/01/2021
978,22,0,0,1000,09/01/2021
976,24,0,0,1000,10/01/2021
976,24,0,0,1000,11/01/2021
975,25,0,0,1000,12/01/2021
973,27,0,0,1000,13/01/2021
971,29,0,0,1000,14/01/2021
969,31,0,0,1000,15/01/2021
969,31,0,0,1000,16/01/2021
969,31,0,0,1000,17/01/2021
967,33,0,0,1000,18/01/2021
966,34,0,0,1000,19/01/2021
966,34,0,0,1000,20/01/2021
966,34,0,0,1000,21/01/2021
965,35,0,0,1000,22/01/2021
962,38,0,0,1000,23/01/2021
959,41,0,0,1000,24/01/2021
958,42,0,0,1000,25/01/2021
957,43,0,0,1000,26/01/2021
956,44,0,0,1000,27/01/2021
956,44,0,0,1000,28/01/2021
954,46,0,0,1000,29/01/2021
953,47,0,0,1000,30/01/2021
951,49,0,0,1000,31/01/2021
949,51,0,0,1000,01/02/2021
944,56,0,0,1000,02/02/2021
941,59,0,0,1000,03/02/2021
939,61,0,0,1000,04/02/2021
937,63,0,0,1000,05/02/2021
934,66,0,0,1000,06/02/2021
932,68,0,0,1000,07/02/2021
929,71,0,0,1000,08/02/2021
923,77,0,0,1000,09/02/2021
919,81,0,0,1000,10/02/2021
917,83,0,0,1000,11/02/2021
913,87,0,0,1000,12/02/2021
909,91,0,0,1000,13/02/2021
906,94,0,0,1000,14/02/2021
904,96,0,0,1000,15/02/2021
902,98,0,0,1000,16/02/2021
895,105,0,0,1000,17/02/2021
886,114,0,0,1000,18/02/2021
883,117,0,0,1000,19/02/2021
879,118,2,1,999,20/02/2021
873,120,3,4,996,21/02/2021
866,125,4,5,995,22/02/2021
861,128,5,6,994,23/02/2021
854,135,5,6,994,24/02/2021
851,138,5,6,994,25/02/2021
844,145,5,6,994,26/02/2021
836,153,5,6,994,27/02/2021
821,167,6,6,994,28/02/2021
813,173,7,7,993,01/03/2021
809,177,7,7,993,02/03/2021
800,185,8,7,993,03/03/2021
793,190,10,7,993,04/03/2021
782,199,11,8,992,05/03/2021
776,203,11,10,990,06/03/2021
767,212,11,10,990,07/03/2021
761,218,11,10,990,08/03/2021
751,226,13,10,990,09/03/2021
740,236,13,11,989,10/03/2021
729,247,13,11,989,11/03/2021
726,250,13,11,989,12/03/2021
721,254,14,11,989,13/03/2021
712,260,14,14,986,14/03/2021
707,262,17,14,986,15/03/2021
700,268,18,14,986,16/03/2021
693,274,18,15,985,17/03/2021
680,286,19,15,985,18/03/2021
671,295,19,15,985,19/03/2021
659,305,20,16,984,20/03/2021
650,313,21,16,984,21/03/2021
640,321,21,18,982,22/03/2021
632,327,22,19,981,23/03/2021
623,331,24,22,978,24/03/2021
615,336,26,23,977,25/03/2021
604,345,27,24,976,26/03/2021
597,350,28,25,975,27/03/2021
593,351,31,25,975,28/03/2021
582,360,33,25,975,29/03/2021
575,364,35,26,974,30/03/2021
565,368,37,30,970,31/03/2021
557,372,40,31,969,01/04/2021
547,380,41,32,968,02/04/2021
526,397,41,36,964,03/04/2021
516,403,44,37,963,04/04/2021
507,409,47,37,963,05/04/2021
497,417,49,37,963,06/04/2021
476,436,51,37,963,07/04/2021
471,434,57,38,962,08/04/2021
463,433,64,40,960,09/04/2021
454,439,65,42,958,10/04/2021
449,440,69,42,958,11/04/2021
443,440,73,44,956,12/04/2021
434,442,76,48,952,13/04/2021
426,445,78,51,949,14/04/2021
420,444,83,53,947,15/04/2021
413,448,85,54,946,16/04/2021
403,451,90,56,944,17/04/2021
389,457,94,60,940,18/04/2021
368,463,105,64,936,19/04/2021
356,467,108,69,931,20/04/2021
345,474,110,71,929,21/04/2021
332,478,116,74,926,22/04/2021
326,477,120,77,923,23/04/2021
317,475,125,83,917,24/04/2021
305,481,129,85,915,25/04/2021
294,483,133,90,910,26/04/2021
285,486,136,93,907,27/04/2021
276,485,143,96,904,28/04/2021
267,483,151,99,901,29/04/2021
256,483,159,102,898,30/04/2021
247,489,161,103,897,01/05/2021
236,495,163,106,894,02/05/2021
222,500,168,110,890,03/05/2021
210,507,170,113,887,04/05/2021
207,503,173,117,883,05/05/2021
202,501,179,118,882,06/05/2021
193,497,186,124,876,07/05/2021
185,496,192,127,873,08/05/2021
178,491,201,130,870,09/05/2021
166,494,205,135,865,10/05/2021
163,487,210,140,860,11/05/2021
160,482,216,142,858,12/05/2021
158,475,223,144,856,13/05/2021
154,471,228,147,853,14/05/2021
148,466,234,152,848,15/05/2021
139,468,239,154,846,16/05/2021
136,467,240,157,843,17/05/2021
132,460,245,163,837,18/05/2021
130,455,249,166,834,19/05/2021
122,453,256,169,831,20/05/2021
118,449,260,173,827,21/05/2021
113,444,263,180,820,22/05/2021
110,426,276,188,812,23/05/2021
108,418,283,191,809,24/05/2021
103,414,288,195,805,25/05/2021
100,407,293,200,800,26/05/2021
96,390,306,208,792,27/05/2021
94,387,310,209,791,28/05/2021
92,381,317,210,790,29/05/2021
90,374,324,212,788,30/05/2021
85,374,326,215,785,31/05/2021
83,370,329,218,782,01/06/2021
80,364,333,223,777,02/06/2021
79,357,337,227,773,03/06/2021
77,353,339,231,769,04/06/2021
71,352,342,235,765,05/06/2021
66,347,347,240,760,06/06/2021
64,335,353,248,752,07/06/2021
59,319,371,251,749,08/06/2021
57,309,378,256,744,09/06/2021
53,302,385,260,740,10/06/2021
53,289,393,265,735,11/06/2021
52,284,398,266,734,12/06/2021
50,277,403,270,730,13/06/2021
48,267,411,274,726,14/06/2021
47,257,418,278,722,15/06/2021
43,252,423,282,718,16/06/2021
42,244,428,286,714,17/06/2021
41,236,434,289,711,18/06/2021
40,226,441,293,707,19/06/2021
38,219,444,299,701,20/06/2021
36,210,449,305,695,21/06/2021
36,196,457,311,689,22/06/2021
36,184,466,314,686,23/06/2021
36,181,468,315,685,24/06/2021
35,177,472,316,684,25/06/2021
35,168,477,320,680,26/06/2021
35,160,480,325,675,27/06/2021
35,153,485,327,673,28/06/2021
35,141,493,331,669,29/06/2021
34,139,493,334,666,30/06/2021
34,136,494,336,664,01/07/2021
34,134,494,338,662,02/07/2021
34,130,496,340,660,03/07/2021
33,125,498,344,656,04/07/2021
33,116,502,349,651,05/07/2021
31,115,504,350,650,06/07/2021
31,111,506,352,648,07/07/2021
30,110,506,354,646,08/07/2021
30,102,510,358,642,09/07/2021
30,98,513,359,641,10/07/2021
30,93,515,362,638,11/07/2021
30,90,517,363,637,12/07/2021
30,88,519,363,637,13/07/2021
30,83,522,365,635,14/07/2021
30,80,524,366,634,15/07/2021
30,76,526,368,632,16/07/2021
29,75,527,369,631,17/07/2021
29,73,527,371,629,18/07/2021
29,71,528,372,628,19/07/2021
29,66,530,375,625,20/07/2021
29,64,532,375,625,21/07/2021
28,62,534,376,624,22/07/2021
28,61,535,376,624,23/07/2021
28,59,537,376,624,24/07/2021
27,54,538,381,619,25/07/2021
27,49,541,383,617,26/07/2021
27,47,543,383,617,27/07/2021
27,42,546,385,615,28/07/2021
27,40,548,385,615,29/07/2021
27,36,550,387,613,30/07/2021
27,36,550,387,613,31/07/2021
27,35,551,387,613,01/08/2021
27,33,552,388,612,02/08/2021
27,31,552,390,610,03/08/2021
27,30,553,390,610,04/08/2021
27,26,556,391,609,05/08/2021
27,25,556,392,608,06/08/2021
27,24,557,392,608,07/08/2021
27,23,558,392,608,08/08/2021
27,21,559,393,607,09/08/2021
27,19,559,395,605,10/08/2021
27,19,559,395,605,11/08/2021
27,19,559,395,605,12/08/2021
27,19,559,395,605,13/08/2021
27,18,560,395,605,14/08/2021
27,18,560,395,605,15/08/2021
27,18,560,395,605,16/08/2021
27,18,560,395,605,17/08/2021
27,18,560,395,605,18/08/2021
27,17,561,395,605,19/08/2021
27,17,561,395,605,20/08/2021
27,17,561,395,605,21/08/2021
27,17,561,395,605,22/08/2021
27,16,561,396,604,23/08/2021
27,16,561,396,604,24/08/2021
27,14,563,396,604,25/08/2021
27,14,563,396,604,26/08/2021
27,13,564,396,604,27/08/2021
27,13,564,396,604,28/08/2021
27,13,564,396,604,29/08/2021
27,13,564,396,604,30/08/2021
27,13,564,396,604,31/08/2021
27,13,564,396,604,01/09/2021
27,13,564,396,604,02/09/2021
27,13,564,396,604,03/09/2021
27,13,564,396,604,04/09/2021
27,12,565,396,604,05/09/2021
27,12,565,396,604,06/09/2021
27,12,565,396,604,07/09/2021
27,12,565,396,604,08/09/2021
27,12,565,396,604,09/09/2021
27,11,565,397,603,10/09/2021
27,11,565,397,603,11/09/2021
27,11,565,397,603,12/09/2021
27,10,566,397,603,13/09/2021
27,10,566,397,603,14/09/2021
27,10,566,397,603,15/09/2021
27,10,566,397,603,16/09/2021
27,10,566,397,603,17/09/2021
27,10,566,397,603,18/09/2021
27,10,566,397,603,19/09/2021
27,10,566,397,603,20/09/2021
27,10,566,397,603,21/09/2021
27,10,566,397,603,22/09/2021
27,10,566,397,603,23/09/2021
27,10,566,397,603,24/09/2021
27,10,566,397,603,25/09/2021
27,10,566,397,603,26/09/2021
27,10,566,397,603,27/09/2021
27,10,566,397,603,28/09/2021
27,10,566,397,603,29/09/2021
27,10,566,397,603,30/09/2021
27,10,566,397,603,01/10/2021
27,10,566,397,603,02/10/2021
27,10,566,397,603,03/10/2021
27,10,566,397,603,04/10/2021
27,10,566,397,603,05/10/2021
27,10,566,397,603,06/10/2021
27,10,566,397,603,07/10/2021
27,10,566,397,603,08/10/2021
27,10,566,397,603,09/10/2021
27,10,566,397,603,10/10/2021
27,10,566,397,603,11/10/2021
27,10,566,397,603,12/10/2021
27,10,566,397,603,13/10/2021
27,10,566,397,603,14/10/2021
26,11,566,397,603,15/10/2021
26,11,566,397,603,16/10/2021
26,11,566,397,603,17/10/2021
26,11,566,397,603,18/10/2021
26,11,566,397,603,19/10/2021
26,11,566,397,603,20/10/2021
26,11,566,397,603,21/10/2021
26,11,566,397,603,22/10/2021
26,11,566,397,603,23/10/2021
26,11,566,397,603,24/10/2021
26,11,566,397,603,25/10/2021
26,11,566,397,603,26/10/2021
26,11,566,397,603,27/10/2021
26,11,566,397,603,28/10/2021
26,11,566,397,603,29/10/2021
26,11,566,397,603,30/10/2021
26,11,566,397,603,31/10/2021
26,11,566,397,603,01/11/2021
26,11,566,397,603,02/11/2021
26,11,566,397,603,03/11/2021
26,11,566,397,603,04/11/2021
26,11,566,397,603,05/11/2021
26,11,566,397,603,06/11/2021
26,11,566,397,603,07/11/2021
26,11,566,397,603,08/11/2021
26,11,566,397,603,09/11/2021
26,11,566,397,603,10/11/2021
26,11,566,397,603,11/11/2021
26,11,566,397,603,12/11/2021
26,11,566,397,603,13/11/2021
26,11,566,397,603,14/11/2021
26,11,566,397,603,15/11/2021
26,11,566,397,603,16/11/2021
26,11,566,397,603,17/11/2021
26,11,566,397,603,18/11/2021
26,11,566,397,603,19/11/2021
26,11,566,397,603,20/11/2021
26,11,566,397,603,21/11/2021
26,11,566,397,603,22/11/2021
26,11,566,397,603,23/11/2021
26,11,566,397,603,24/11/2021
26,11,566,397,603,25/11/2021
26,11,566,397,603,26/11/2021
26,11,566,397,603,27/11/2021
26,11,566,397,603,28/11/2021
26,11,566,397,603,29/11/2021
26,11,566,397,603,30/11/2021
26,11,566,397,603,01/12/2021
26,11,566,397,603,02/12/2021
26,11,566,397,603,03/12/2021
26,10,566,398,602,04/12/2021
26,10,566,398,602,05/12/2021
26,10,566,398,602,06/12/2021
26,10,566,398,602,07/12/2021
26,10,566,398,602,08/12/2021
26,10,566,398,602,09/12/2021
26,10,566,398,602,10/12/2021
26,10,566,398,602,11/12/2021
26,10,566,398,602,12/12/2021
26,10,566,398,602,13/12/2021
26,10,566,398,602,14/12/2021
26,10,566,398,602,15/12/2021
26,10,566,398,602,16/12/2021
26,10,566,398,602,17/12/2021
26,10,566,398,602,18/12/2021
26,10,566,398,602,19/12/2021
26,10,566,398,602,20/12/2021
26,10,566,398,602,21/12/2021
26,10,566,398,602,22/12/2021
26,10,566,398,602,23/12/2021
26,10,566,398,602,24/12/2021
26,10,566,398,602,25/12/2021
26,10,566,398,602,26/12/2021
26,10,566,398,602,27/12/2021
26,10,566,398,602,28/12/2021
26,10,566,398,602,29/12/2021
26,10,566,398,602,30/12/2021
26,10,566,398,602,31/12/2021
